Sample in Buffer,Sample in Window,TRIGGER,ddr3_top/ddr3_FSM/current_state[3:0],ddr3_top/ddr3_FSM/ddr3_rd_en_counter[6:0],ddr3_top/ddr3_FSM/ddr3_rd_en_counter_full[6:0],ddr3_top/app_addr[28:0],ddr3_top/app_cmd_1[0:0],ddr3_top/app_cmd[2:1],ddr3_top/ddr3_FSM/rd_burst_addr_counter[20:0],ddr3_top/ddr3_FSM/rd_burst_data_counter_full[21:0],ddr3_top/ddr3_FSM/rd_burst_addr_counter_full[21:0],ddr3_top/ddr3_FSM/rd_burst_data_counter[20:0],ddr_dout_256bit_full[255:0],u_ila_0_app_en,ddr3_top/app_rd_data_valid,u_ila_0_app_rdy,ddr3_top/app_wdf_rdy,ddr3_top/app_wdf_wren,ddr_fifo_full_s_empty,ddr_fifo_s_empty,rd_burst_data_full_valid
0,0,0,0110,0,25,9776424,1,00,33056,1222028,1222053,33056,5a49bd35ff5df75ccdf7bd75a4d29c50a4919c50a471c575bd5572ec51e8836e,1,1,1,1,0,1,0,1
1,1,0,0110,0,26,9776432,1,00,33056,1222029,1222054,33056,a47272ec5a4a8bd06acc5208628a8bcf5aaa6b0b9c7194306a8a49a7628a7b2c,1,1,1,1,0,1,0,1
2,2,0,0110,0,27,9776440,1,00,33056,1222030,1222055,33056,8bcf8bcf93ef7b2c6aaa6aa97b2b6aa951e66ac99c2f9c2e832a6a876a8672a6,1,1,1,1,0,1,0,1
3,3,0,0110,0,28,9776448,1,00,33056,1222031,1222056,33056,82e772a562645a6462a4732593e872c5498051e273066284416062635a0349a2,1,1,1,1,0,1,0,1
4,4,0,0110,0,29,9776456,1,00,33056,1222032,1222057,33056,49a34983390130e052045a23626472e562426a836a4272a38b6672c45a026222,1,1,1,1,0,1,0,1
5,5,0,0110,0,30,9776464,1,00,33056,1222033,1222058,33056,6222728383058b468b258b059346a3e89b669346932682c4726482a593889ba9,1,1,1,1,0,1,0,1
6,6,0,0110,0,31,9776472,1,00,33056,1222034,1222059,33056,abec9b6a8ae9bc8fd593b49093cd9c2fc574d637d637c5b5cdb6d637de38cdb6,1,1,1,1,0,0,0,1
7,7,0,0110,0,32,9776480,1,00,33056,1222035,1222060,33056,acf38bef630b9470ce38de79eedbcdd78bae62493903498572ea93efa42f93ce,1,1,1,1,0,0,0,1
8,8,0,0110,0,33,9776488,1,00,33056,1222036,1222061,33056,93ae832c6a696aaa838e5a4941875209396741a749a85a4a834e834e6a6b6209,1,1,1,1,0,0,0,1
9,9,0,0110,0,34,9776496,1,00,33056,1222037,1222062,33056,8baf93af832c72ab9bef93af6249392593f0c5b7c5b7ce39de7ade7ab514acd3,1,1,1,1,0,0,0,1
10,10,0,0110,0,35,9776504,1,00,33056,1222038,1222063,33056,7b4d416651c86a8b72cc834ea43293d049873905836ff6fdf6fc838f52295a49,1,1,1,1,0,0,0,1
11,11,0,0110,0,36,9776512,1,00,33056,1222039,1222064,33056,522920825a28a4519c3059e751c78b6db49193ae82eb7aeb7aca7b0b938d93ad,1,1,1,1,0,0,0,1
